timestamp_utc,relative_s,channel,direction,id_hex,name,sender,receiver,dlc,bus_type,data_hex
2026-06-18T11:52:47.271Z,0.000000,CAN1,Tx,0x101,DATA_001_CAMERA_FRONT_WIDE_TO_ADAS_DOMAIN,CAMERA_FRONT_WIDE,ADAS_DOMAIN,64,fd,2f000090197dd23072b33bf303424464bdfeffda43414d4552415f46524f4e545f57494445202d3e20414441535f444f4d41494e000000000000000000000000
2026-06-18T11:52:47.271Z,0.000000,CAN2,Tx,0x102,DATA_002_RADAR_FRONT_LONG_RANGE_TO_ADAS_DOMAIN,RADAR_FRONT_LONG_RANGE,ADAS_DOMAIN,64,fd,0d000090197dd23072b33bf303424464bdfeffda52414441525f46524f4e545f4c4f4e475f52414e4745202d3e20414441535f444f4d41494e00000000000000
2026-06-18T11:52:47.271Z,0.000367,CAN0,Tx,0x100,DATA_000_LIDAR_FRONT_TO_ADAS_DOMAIN,LIDAR_FRONT,ADAS_DOMAIN,64,fd,fc0003b0197ef23073c33bf403424434bdfc1fdb4c494441525f46524f4e54202d3e20414441535f444f4d41494e000000000000000000000000000000000000
2026-06-18T11:52:47.272Z,0.000895,CAN0,Rx,0x600,RESP_000_ADAS_DOMAIN_TO_LIDAR_FRONT,ADAS_DOMAIN,LIDAR_FRONT,16,fd,34100081400010020000fcfc142b4259
2026-06-18T11:52:47.272Z,0.001466,CAN2,Rx,0x602,RESP_002_ADAS_DOMAIN_TO_RADAR_FRONT_LONG_RANGE,ADAS_DOMAIN,RADAR_FRONT_LONG_RANGE,16,fd,261002814000ba0500000d0d162d445b
2026-06-18T11:52:47.272Z,0.001735,CAN1,Rx,0x601,RESP_001_ADAS_DOMAIN_TO_CAMERA_FRONT_WIDE,ADAS_DOMAIN,CAMERA_FRONT_WIDE,16,fd,ee1001814000c70600002f2f152c435a
2026-06-18T11:52:47.274Z,0.003139,CAN1,Tx,0x500,GW_DATA_000_LIDAR_FRONT_TO_ADAS_DOMAIN,LIDAR_FRONT,ADAS_DOMAIN,64,fd,fc8003b0197ef23073c33bf403424434bdfc1fdb4c494441525f46524f4e54202d3e20414441535f444f4d41494e000000000000000000000000000000000000
2026-06-18T11:52:47.290Z,0.019630,CAN0,Tx,0x100,DATA_000_LIDAR_FRONT_TO_ADAS_DOMAIN,LIDAR_FRONT,ADAS_DOMAIN,64,fd,a601a0c020d66235af133f22a4446a54b38c8fe04c494441525f46524f4e54202d3e20414441535f444f4d41494e000000000000000000000000000000000000
2026-06-18T11:52:47.291Z,0.020045,CAN0,Rx,0x600,RESP_000_ADAS_DOMAIN_TO_LIDAR_FRONT,ADAS_DOMAIN,LIDAR_FRONT,16,fd,a011008940009f010100a6a6273e556c
2026-06-18T11:52:47.291Z,0.020484,CAN2,Tx,0x102,DATA_002_RADAR_FRONT_LONG_RANGE_TO_ADAS_DOMAIN,RADAR_FRONT_LONG_RANGE,ADAS_DOMAIN,64,fd,d601a71021daa235b2333f25c4446be4b287cfe052414441525f46524f4e545f4c4f4e475f52414e4745202d3e20414441535f444f4d41494e00000000000000
2026-06-18T11:52:47.291Z,0.020719,CAN1,Tx,0x500,GW_DATA_000_LIDAR_FRONT_TO_ADAS_DOMAIN,LIDAR_FRONT,ADAS_DOMAIN,64,fd,a681a0c020d66235af133f22a4446a54b38c8fe04c494441525f46524f4e54202d3e20414441535f444f4d41494e000000000000000000000000000000000000
2026-06-18T11:52:47.292Z,0.021281,CAN2,Rx,0x602,RESP_002_ADAS_DOMAIN_TO_RADAR_FRONT_LONG_RANGE,ADAS_DOMAIN,RADAR_FRONT_LONG_RANGE,16,fd,2711028940001d030100d6d62940576e
